Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2016-11-01,month,Syndio Solutions,https://www.crunchbase.com/organization/syndio,"Analytics, Compliance, Human Resources, Legal, Machine Learning, Predictive Analytics, SaaS, Social Network","Syndio is a people analytics company solving today's business challenges with data science, such as closing the gender pay gap","Santa Cruz, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,3,Seed,2018-11-14,5200000,USD,5200000,Seed,7100000,USD,7100000,,
2014-09-24,day,Fraugster,https://www.crunchbase.com/organization/fraugster,"Artificial Intelligence, Big Data, FinTech",Fraugster is a German-Israeli anti-fraud company that uses artificial intelligence to eliminate fraud and increase customers’ profits.,"Leeds, Leeds, United Kingdom",European Union (EU),Active,,2,Early Stage Venture,2018-11-07,14000000,USD,14000000,Series B,19000000,USD,19000000,,
2012-01-01,year,Riskified,https://www.crunchbase.com/organization/riskified,"E-Commerce, FinTech, Fraud Detection, Machine Learning, Risk Management",Riskified is an all-in-one eCommerce fraud prevention solution and chargeback protection service for high volume and enterprise merchants.,"Tel Aviv, Tel Aviv, Israel",,Active,,5,Late Stage Venture,2017-06-27,33000000,USD,33000000,Series C,63650000,USD,63650000,,
2018-01-01,year,Figure,https://www.crunchbase.com/organization/figure-66e9,"Artificial Intelligence, Blockchain, Finance, Financial Services, FinTech",Figure is a financial technology company that provides home equity release solutions.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,2,Early Stage Venture,2018-05-26,50000000,USD,50000000,Series A,100000000,USD,100000000,,
2012-02-01,day,Kreditech Holding,https://www.crunchbase.com/organization/kreditech,"Artificial Intelligence, Banking, Big Data, Finance, Financial Services, FinTech, Lending, Personal Finance",Kreditech uses machine-learning technologies to provide access to better credit for the underbanked,"Hamburg, Hamburg, Germany",European Union (EU),Active,,13,Late Stage Venture,2017-05-10,110000000,EUR,119539490,Corporate Round,497320437,USD,497320437,1,Made Acquisitions
2009-10-18,day,Feedzai,https://www.crunchbase.com/organization/feedzai,"Analytics, Artificial Intelligence, Big Data, FinTech, Information Technology, Risk Management","Feedzai is AI, with today’s most advanced risk management platform powered by artificial intelligence to make banking and commerce safe.","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,7,Late Stage Venture,2017-10-17,50000000,USD,50000000,Series C,76120203,USD,76120203,,
2011-06-01,day,Sift Science,https://www.crunchbase.com/organization/sift-science,"Big Data, E-Commerce, FinTech, Fraud Detection, Machine Learning, Security",Sift Science applies insights from a global network of data to detect fraud and increase positive user experience.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,7,Late Stage Venture,2018-07-10,,,,Secondary Market,106600000,USD,106600000,,
2013-01-01,year,Cazana,https://www.crunchbase.com/organization/cazana,"Artificial Intelligence, Automotive, Big Data, FinTech, InsurTech, Machine Learning, Predictive Analytics","Valuation and risk data to power the next generation of vehicle ownership. Used by car manufacturers, finance companies & insurers globally.","London, England, United Kingdom",European Union (EU),Active,,2,Seed,2017-10-01,2300000,USD,2300000,Seed,3288737,USD,3288737,1,Made Acquisitions
2010-01-01,year,Narrative Science,https://www.crunchbase.com/organization/narrative-science,"Analytics, Artificial Intelligence, Big Data, Data Mining, FinTech",Narrative Science is the leader in Advanced Natural Language Generation for the enterprise.,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,7,Late Stage Venture,2017-04-14,11000000,USD,11000000,Series D,43400000,USD,43400000,,
2008-01-01,year,Featurespace,https://www.crunchbase.com/organization/featurespace,"Artificial Intelligence, Banking, FinTech, Fraud Detection, Payments, Software",Featurespace is a UK-based provider of adaptive behavioral analytics technology for fraud and risk management in financial services & gaming,"Cambridge, Cambridgeshire, United Kingdom",European Union (EU),Active,,4,,2017-10-04,16500000,GBP,21834118,Venture - Series Unknown,38193847,USD,38193847,,
2015-05-24,day,AND Global Pte.Ltd,https://www.crunchbase.com/organization/and-global-and-systems,"Artificial Intelligence, Finance, FinTech, Lending",AND GLOBAL Pte.Ltd is a Singapore based True FinTech Company powered by Machine Learning and Brilliant Minds. ,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,6,Seed,2018-11-01,5300000,USD,5300000,Seed,14968000,USD,14968000,1,Made Acquisitions
2015-02-10,day,DAYLI Financial Group,https://www.crunchbase.com/organization/dayli-financial-group,"Artificial Intelligence, Big Data, Cryptocurrency, FinTech, Machine Learning, Personal Finance, Wealth Management","A leading Fintech company in Asia providing data tech solutions, digital wealth management, and lead-generation services","Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),Active,,4,Early Stage Venture,2017-11-07,,,,Series B,96999000,USD,96999000,,
2013-01-01,year,MoneyLion,https://www.crunchbase.com/organization/moneylion,"Artificial Intelligence, Consumer Lending, Credit, Financial Services, FinTech","MoneyLion is empowering the American dream by providing everyone access to better products for borrowing, saving and investing.","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,4,Early Stage Venture,2018-01-04,42000000,USD,42000000,Series B,67499428,USD,67499428,,
2009-01-01,year,ZestFinance,https://www.crunchbase.com/organization/zestfinance,"Analytics, Big Data, FinTech, Machine Learning","ZestFinance is committed to making fair and transparent credit available to everyone. Los Angeles, California, United States.","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,6,,2016-07-18,,,,Undisclosed,217000000,USD,217000000,,
2008-01-01,year,Ayasdi,https://www.crunchbase.com/organization/ayasdi,"Analytics, Artificial Intelligence, Big Data, Data Visualization, FinTech, Machine Learning",Ayasdi offers a machine intelligence platform that helps organizations gain transformative advantage from big data,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,7,Late Stage Venture,2015-03-25,55000000,USD,55000000,Series C,106348982,USD,106348982,,
2016-01-01,year,Portal Finance,https://www.crunchbase.com/organization/portal-finance,"Commercial Lending, Finance, FinTech, Machine Learning, Risk Management",Portal Finance provides the tools to understand and leverage this information to transform how mission critical finance decisions are made.,"Madison, Wisconsin, United States","Great Lakes, Midwestern US",Active,,3,,2018-09-03,200000000,USD,200000000,Venture - Series Unknown,201600000,USD,201600000,,
2013-01-01,year,ThetaRay,https://www.crunchbase.com/organization/thetaray,"Artificial Intelligence, Big Data, Cyber Security, FinTech, Fraud Detection, Machine Learning, Network Security","ThetaRay is a provider of unknown threat detection solutions to critical infrastructure, financial institutions, and other verticals.","Hod Hasharon, HaMerkaz, Israel",,Active,,6,Early Stage Venture,2018-07-02,30000000,USD,30000000,Series B,60500000,USD,60500000,,
2016-10-28,day,Dave Inc.,https://www.crunchbase.com/organization/dave-com,"Artificial Intelligence, FinTech, Internet",Building Products Banks Won't,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Closed,,3,,2018-04-30,10000000,USD,10000000,Debt Financing,26300000,USD,26300000,,
2011-05-17,day,Digital Shadows,https://www.crunchbase.com/organization/digital-shadows,"Analytics, Artificial Intelligence, Cyber Security, Risk Management","Protect your organization against digital risks across the open, deep, and dark web.","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,5,Late Stage Venture,2017-09-20,26000000,USD,26000000,Series C,48000000,USD,48000000,,
2014-01-01,year,Finn AI,https://www.crunchbase.com/organization/finn-ai,"Artificial Intelligence, Banking, Financial Services, FinTech, SaaS, Software","Finn AI is an award-winning, AI-powered virtual assistant built for personal banking and finance.","Vancouver, British Columbia, Canada",,Active,,2,Early Stage Venture,2018-10-22,14000000,CAD,10687610,Series A,13687610,USD,13687610,,
2013-01-01,year,Bankorus,https://www.crunchbase.com/organization/bankorus,"Artificial Intelligence, Blockchain, Cryptocurrency, Finance, FinTech, Personal Finance","Bankorus is the first AI-powered, crypto-wealth management platform, and security token marketplace built on the blockchain.","Beijing, Beijing, China",Asia-Pacific (APAC),Active,,3,Seed,2017-06-27,,,,Non-equity Assistance,5200000,USD,5200000,,
2015-09-01,month,wefox Group,https://www.crunchbase.com/organization/financefox,"Artificial Intelligence, FinTech, Insurance, InsurTech, Internet of Things",wefox: Platform that connects insurances to brokers that consult their customers completely digital; ONE: Fully digital insurance company,"Berlin, Berlin, Germany",European Union (EU),Active,,4,Early Stage Venture,2017-11-10,5000000,USD,5000000,Debt Financing,38500000,USD,38500000,1,Made Acquisitions
2013-01-01,year,Kasisto,https://www.crunchbase.com/organization/kasisto-inc,"Artificial Intelligence, Computer, FinTech, Information Technology, Software",Kasisto is a conversational AI platform for the finance industry with the most comprehensive production deployments.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,3,Early Stage Venture,2017-12-13,17000000,USD,17000000,Series B,28450000,USD,28450000,,
2012-09-01,day,Socure Inc.,https://www.crunchbase.com/organization/socure,"FinTech, Identity Management, Machine Learning, Security, Social Media",Socure is a predictive analytics platform for digital ID verification of consumers and businesses.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,6,Early Stage Venture,2017-08-09,13900000,USD,13900000,Series B,31900000,USD,31900000,,
2013-12-20,day,DataVisor,https://www.crunchbase.com/organization/datavisor,"Analytics, Big Data, Cyber Security, Fraud Detection, Machine Learning",DataVisor uses Unsupervised Machine Learning to detect fraud & financial crime before they can inflict damage.,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,3,Late Stage Venture,2018-02-09,40000000,USD,40000000,Series C,54500000,USD,54500000,,
1999-01-01,year,Finicity,https://www.crunchbase.com/organization/finicity,"Accounting, Advice, Apps, Big Data, Cloud Data Services, Credit Bureau, Data Integration, Data Visualization, Financial Services, FinTech, Payments, Personal Finance, Predictive Analytics, Security","Finicity provides a suite of APIs for financial management, payment and credit decisioning solution developers.","Salt Lake City, Utah, United States",Western US,Active,,3,,2018-07-09,29000000,USD,29000000,Venture - Series Unknown,79900000,USD,79900000,1,Made Acquisitions
2013-01-01,year,Deserve,https://www.crunchbase.com/organization/deserve,"Analytics, Big Data, Credit Cards, Financial Services, FinTech, Internet, Machine Learning, Mobile Payments",Deserve is a next gen fintech company  that is helping millennials and Gen Z’s gain access to fair credit products through m/c learning. ,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,7,Late Stage Venture,2018-08-27,17000000,USD,17000000,Series C,95400000,USD,95400000,,
2002-01-01,year,Dtex Systems,https://www.crunchbase.com/organization/dtex-systems,"Business Intelligence, Cyber Security, Machine Learning, Predictive Analytics, Risk Management, Security, Software",User behavior intelligence provides complete visibility into everything users do on their work devices without compromising privacy.,"San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,3,Late Stage Venture,2017-09-01,9086573,USD,9086573,Series C,39534904,USD,39534904,,
2013-01-01,year,Lumiata,https://www.crunchbase.com/organization/lumiata,"Analytics, Artificial Intelligence, Big Data, Health Care, Machine Learning, Medical, Predictive Analytics, Risk Management",Lumiata provides AI-powered predictive analytics for managing healthcare costs and risk impacting millions of lives.,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,4,Early Stage Venture,2018-07-10,11000000,USD,11000000,Series B,31000000,USD,31000000,,
2014-06-02,day,Behavox,https://www.crunchbase.com/organization/behavox,"Artificial Intelligence, Data Visualization, FinTech",Holistic employee surveillance system,"London, England, United Kingdom",European Union (EU),Active,,4,Early Stage Venture,2017-11-14,20000000,USD,20000000,Series B,21400000,USD,21400000,,
2015-11-09,day,Cleo,https://www.crunchbase.com/organization/cleo-ai,"Artificial Intelligence, Finance, FinTech",Cleo is an artificial intelligence startup that offers an intelligent assistant to help users in managing their finances.,"London, England, United Kingdom",European Union (EU),Active,,3,Early Stage Venture,2018-09-21,10000000,USD,10000000,Series A,13322899,USD,13322899,,
2014-01-01,year,Ravelin,https://www.crunchbase.com/organization/ravelin,"Artificial Intelligence, Cyber Security, FinTech, Fraud Detection, Information Technology, Machine Learning",Ravelin is a smart fraud detection and prevention platform that helps companies stop online payment fraud.,"London, England, United Kingdom",European Union (EU),Active,,4,Early Stage Venture,2018-09-11,8000000,GBP,10412978,Series B,12300000,GBP,16073392,,
2014-05-01,day,Simility,https://www.crunchbase.com/organization/simility,"Fraud Detection, Machine Learning, Real Time","Simility helps companies prevent fraud and abuse in real time with machine learning, big data analytics and data visualization capabilities.","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,4,M&A,2017-12-12,17500000,USD,17500000,Series B,24700000,USD,24700000,,Was Acquired
2016-03-06,day,Quantexa,https://www.crunchbase.com/organization/quantexa,"Analytics, Artificial Intelligence, Big Data, Compliance, Financial Services, FinTech","Quantexa is a big data analytics company, driving actionable intelligence in the fight against financial crime and customer insight.","London, England, United Kingdom",European Union (EU),Active,,2,Early Stage Venture,2018-08-02,20000000,USD,20000000,Series B,23300000,USD,23300000,,
2012-05-29,day,Emailage,https://www.crunchbase.com/organization/emailage,"Air Transportation, Artificial Intelligence, E-Commerce, FinTech, Fraud Detection, Machine Learning, Real Time, SaaS, Software",Emailage provides transactional risk assessment by assessing and scoring email data for organizations around the world.,"Chandler, Arizona, United States","Greater Phoenix Area, Western US",Active,,2,Early Stage Venture,2018-06-19,10000000,USD,10000000,Series B,15674970,USD,15674970,,
2014-02-07,day,CloudCherry,https://www.crunchbase.com/organization/cloudcherry,"Analytics, Banking, Business Intelligence, Cloud Computing, Customer Service, Data Integration, Enterprise Software, Financial Services, Information Technology, Market Research, Mobile, Predictive Analytics, Retail Technology, SaaS, Text Analytics",The Next Generation Voice Of Customer & Experience Management SaaS platform,"Salt Lake City, Utah, United States",Western US,Active,,4,Early Stage Venture,2018-09-06,9000000,USD,9000000,Series A,16000000,USD,16000000,,
2005-11-20,day,Crisp Thinking,https://www.crunchbase.com/organization/crisp-thinking,"Artificial Intelligence, Machine Learning, Risk Management, Social Media","Social media brand safety and crisis monitoring experts, protecting reputations of global brands, media publishers and platforms online.","Leeds, Leeds, United Kingdom",European Union (EU),Active,,1,,2018-10-22,25000000,USD,25000000,Venture - Series Unknown,25000000,USD,25000000,1,Made Acquisitions
2011-04-25,day,DueDil,https://www.crunchbase.com/organization/duedil,"Analytics, Artificial Intelligence, Compliance, Credit, Data Integration, Developer APIs, Information Services, Sales, Transaction Processing",DueDil is the largest source of private company information in the UK & Ireland. It helps companies find new opportunities & mitigate risk.,"London, England, United Kingdom",European Union (EU),Active,,8,Late Stage Venture,2018-08-20,8000000,GBP,10243343,Series C,43034923,USD,43034923,,
2015-01-01,year,Trim,https://www.crunchbase.com/organization/trim,"Artificial Intelligence, Consumer, Financial Services, FinTech, Machine Learning",Trim automates your financial life.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,2,Seed,2016-07-20,2200000,USD,2200000,Seed,2200000,USD,2200000,,
2017-01-01,year,OnSiteIQ,https://www.crunchbase.com/organization/onsiteiq,"Computer Vision, Construction, Enterprise Software, Insurance, Risk Management",OnSiteIQ is a tech-enabled construction visual documentation and Risk Assessment service,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,5,Seed,2018-11-15,2000000,USD,2000000,Seed,2000000,USD,2000000,,
2012-01-01,year,VATBox,https://www.crunchbase.com/organization/vatbox,"Artificial Intelligence, Enterprise Software, Finance, FinTech, Machine Learning, SaaS",A global cloud-based technology company focused on simplifying the laborious VAT recovery process via AI & automation. ,"Herzliya, Tel Aviv, Israel",,Active,,3,,2017-02-21,20000000,USD,20000000,Venture - Series Unknown,50000000,USD,50000000,,
2015-03-01,month,UnifyID,https://www.crunchbase.com/organization/unifyid,"Enterprise Software, Identity Management, Information Technology, Machine Learning",UnifyID is an identity platform that offers seamless security through implicit authentication.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,Early Stage Venture,2017-08-01,20000000,USD,20000000,Series A,20000000,USD,20000000,,
2016-09-26,day,"Site 1001, Inc.",https://www.crunchbase.com/organization/site-1001-inc,"Artificial Intelligence, Asset Management, Building Maintenance, Internet of Things, Machine Learning, Mobile, SaaS, Smart Building",Site 1001 is an AI-driven performance and operations platform for smart buildings.,"Kansas City, Missouri, United States",Midwestern US,Active,,3,,2018-09-19,6275000,USD,6275000,Venture - Series Unknown,17275000,USD,17275000,,
2016-04-18,day,Zego,https://www.crunchbase.com/organization/zegocover,"Artificial Intelligence, Commercial Insurance, Finance, FinTech, Insurance, InsurTech, Professional Services, Property Insurance, Small and Medium Businesses",Zego is a global insurtech business providing flexible commercial insurance for businesses & professionals,"London, England, United Kingdom",European Union (EU),Active,,3,Early Stage Venture,2017-11-18,6000000,GBP,7930214,Series A,9738890,USD,9738890,,
2012-06-19,day,CashDirector SA,https://www.crunchbase.com/organization/cyberproductivity-sa,"Accounting, Artificial Intelligence, Enterprise Software, FinTech, Information Technology, Machine Learning",CashDirector SA is a technology company providing banks with Virtual CFO & real-time accounting platforms for SME clients.,"Warszawa, Mazowieckie, Poland",European Union (EU),Active,,3,Seed,2018-05-21,,,,Seed,4000000,USD,4000000,,
2014-01-01,year,Cytora,https://www.crunchbase.com/organization/cytora,"Analytics, Artificial Intelligence, Big Data, Commercial Insurance, Insurance, Risk Management","Cytora is a technology company powering a new way for commercial insurers to target, select and price risk.","London, England, United Kingdom",European Union (EU),Active,,4,Early Stage Venture,2017-12-06,5900000,USD,5900000,Series A,8819867,USD,8819867,,
,,Clearcover,https://www.crunchbase.com/organization/clearcover,"Artificial Intelligence, InsurTech","Clearcover is the smarter car insurance choice, offering better coverage for less money.","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,1,Early Stage Venture,2017-09-19,11500000,USD,11500000,Series A,11500000,USD,11500000,,
2012-04-23,day,Moneytree,https://www.crunchbase.com/organization/moneytree,"Analytics, Artificial Intelligence, Banking, Big Data, Credit Cards, Finance, FinTech, Personal Finance","Moneytree is Japan’s #1 financial data aggregation platform, providing financial data API services (B2E) and personal finance apps (B2C)","Tokyo, Tokyo, Japan",Asia-Pacific (APAC),Active,,4,Early Stage Venture,2017-05-02,1000000000,JPY,8930714,Series B,10530714,USD,10530714,,
2013-01-01,year,Knowtions Research,https://www.crunchbase.com/organization/myknowtions,"Artificial Intelligence, Enterprise Software, InsurTech, Machine Learning, Natural Language Processing","Knowtions combines machine learning and expert communities to solve multilingual data challenges in social listening, patient experience","Toronto, Ontario, Canada",Great Lakes,Active,,2,Early Stage Venture,2018-11-13,5000000,USD,5000000,Series A,5780000,USD,5780000,,
2012-08-12,day,Funding Options,https://www.crunchbase.com/organization/funding-options,"Artificial Intelligence, B2B, Enterprise Software, Finance, FinTech, Small and Medium Businesses",Funding Options uses modern web technology to help SMEs to find the right finance.,"London, England, United Kingdom",European Union (EU),Active,,4,,2018-09-20,5000000,GBP,6635083,Venture - Series Unknown,8050000,GBP,11457365,,
2015-07-27,day,YayPay,https://www.crunchbase.com/organization/yaypay-inc,"Artificial Intelligence, FinTech, Payments, SaaS, Software",YayPay is a predictive accounts receivable automation solution .,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,3,,2017-09-13,5300000,USD,5300000,Venture - Series Unknown,5400000,USD,5400000,,
2014-01-14,day,Aire,https://www.crunchbase.com/organization/aire,"Artificial Intelligence, Credit, FinTech, Machine Learning",Aire gives people a new credit score to help them qualify for essential financial products.,"London, England, United Kingdom",European Union (EU),Active,,5,Early Stage Venture,2017-07-22,5000000,USD,5000000,Series A,12000000,USD,12000000,,
2015-01-29,day,Aira Tech Corp,https://www.crunchbase.com/organization/aira,"Artificial Intelligence, Assistive Technology, Augmented Reality, Computer Vision, Health Care, Internet of Things, Machine Learning, Social Impact, Wearables",Aira combines AR + AI technology with human IQ to give legally blind people the augmented ability to access the entire visual world.,"La Jolla, California, United States","Greater San Diego Area, West Coast, Western US",Active,,4,Early Stage Venture,2017-05-16,12000000,USD,12000000,Series B,15340000,USD,15340000,,
2016-01-01,year,Pagaya Investments,https://www.crunchbase.com/organization/the-pagaya-group,"Artificial Intelligence, Big Data, Finance, FinTech, Machine Learning",Pagaya is a fin-tech company that aims to reshape the asset management space using machine learning and big data analytics.,"Tel Aviv, Tel Aviv, Israel",,Active,,5,Early Stage Venture,2018-08-30,14000000,USD,14000000,Series B,94250000,USD,94250000,,
2018-08-17,day,HyperProof,https://www.crunchbase.com/organization/hyperproof,"Artificial Intelligence, Blockchain, Cloud Computing, Compliance, Enterprise Software, Machine Learning, SaaS",HyperProof is radically reducing risk and cost of keeping companies and their customers' data in compliance.,"Bellevue, Washington, United States","Greater Seattle Area, West Coast, Western US",Active,,1,,2018-10-26,1750000,USD,1750000,Venture - Series Unknown,1750000,USD,1750000,,
2016-02-03,day,Novo,https://www.crunchbase.com/organization/novo,"Artificial Intelligence, Banking, Financial Services",Novo is a modern banking platform that gives startups and small business owners the technology they need to focus on their businesses.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,,2017-10-27,1000000,USD,1000000,Convertible Note,1000000,USD,1000000,,
2015-07-01,day,Bud,https://www.crunchbase.com/organization/bud,"Developer APIs, Finance, Financial Services, FinTech, Machine Learning",Bud is the financial network combining APIs & Data to create a new species of connected experiences ,"London, England, United Kingdom",European Union (EU),Active,,1,Seed,2017-10-24,1500000,GBP,1969563,Seed,1500000,GBP,1969563,,
2016-11-01,month,Axyon AI,https://www.crunchbase.com/organization/axyon-ai-srl,"Artificial Intelligence, Banking, FinTech",Deep Learning for Capital Markets and Asset Management,"Modena, Emilia-Romagna, Italy",European Union (EU),Active,,3,,2018-12-03,1300000,EUR,1475272,Venture - Series Unknown,1550000,EUR,1751542,,
2013-05-06,day,Insurify,https://www.crunchbase.com/organization/insurify,"Artificial Intelligence, Auto Insurance, InsurTech, Price Comparison",The fastest way to compare car insurance quotes.,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,2,,2017-03-16,4600000,USD,4600000,Venture - Series Unknown,6600000,USD,6600000,,
2016-02-01,day,Plum,https://www.crunchbase.com/organization/plum-6,"Artificial Intelligence, Financial Services, FinTech, Personal Finance","Plum is a personal savings assistant that links, monitors users current accounts, and send notifications about balances and savings.","London, England, United Kingdom",European Union (EU),Active,,3,,2018-06-19,594362,GBP,782974,Equity Crowdfunding,2487448,USD,2487448,,
2013-07-11,day,Canopy,https://www.crunchbase.com/organization/canopy-cloud,"Analytics, Apps, Big Data, Data Visualization, Finance, Information Services, Information Technology, Wealth Management","Canopy is a financial data aggregation, visualization, analytics, and reporting platform.","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,5,Early Stage Venture,2018-09-26,4800000,USD,4800000,Series A,14325000,USD,14325000,,
2016-01-01,year,Zelros,https://www.crunchbase.com/organization/zelros,"Artificial Intelligence, InsurTech, Machine Learning",AI for Augmented Insurers,"Paris, Ile-de-France, France",European Union (EU),Active,,1,Early Stage Venture,2018-12-03,4000000,EUR,4542197,Series A,4000000,EUR,4542197,,
2013-02-01,day,Tethr,https://www.crunchbase.com/organization/collabip,"Artificial Intelligence, Business Intelligence, Call Center, Compliance, Customer Service, Machine Learning, Predictive Analytics, SaaS",Tethr is an AI-powered conversation intelligence platform.,"Austin, Texas, United States",Southern US,Active,,3,,2018-04-30,,,,Venture - Series Unknown,21200000,USD,21200000,,
